Country,Freq
Argentina,16553
Australia,14950
Austria,4826
Belgium,27187
Brazil,12722
Bulgaria,2097
Cameroon,419
Canada,20566
Chile,11150
China,25876
Colombia,12797
Costa Rica,905
Croatia,7196
Czech Republic,14803
Denmark,7769
Dominican Republic,1020
Egypt,315
El Salvador,348
Estonia,14
Finland,2912
France,55086
Germany,52314
Ghana,53
Greece,14098
Guatemala,4525
Honduras,437
Hong Kong,3288
Hungary,13838
India,10523
Indonesia,88
Ireland,7218
Israel,15885
Italy,48177
Ivory Coast,318
Jamaica,198
Japan,7153
Jordan,1877
Kenya,646
"Korea, South",13787
Kuwait,9633
Latvia,2687
Lebanon,177
Lithuania,3229
Malawi,33
Malaysia,4400
Mauritius,119
Mexico,22214
Morocco,3896
Namibia,139
Netherlands,7839
New Zealand,1106
Nicaragua,46
Nigeria,3006
Norway,195
Oman,205
Pakistan,1079
Panama,3573
Philippines,10110
Poland,10159
Portugal,17523
Puerto Rico,139
Qatar,762
Romania,6769
Russia,12171
Saudi Arabia,2218
Serbia,199
Singapore,2002
Slovak Republic,970
Slovenia,1900
South Africa,12947
Spain,57659
Sweden,7145
Switzerland,6519
Taiwan,12400
Thailand,10988
Tunisia,750
Turkey,10729
Uganda,76
Ukraine,2141
United Kingdom,14127
United States,150464
Venezuela,9682
Vietnam,174
